tour,year,uk_tournament_id,location,tournament_name,series,surface,best_of,is_outdoor,start_date,end_date,num_matches,source_event_key,num_rounds,num_awarded_matches,num_completed_matches,num_disqualified_matches,num_retired_matches,num_walkover_matches,num_players,champion,runner_up,champion_avg_rank,champion_avg_odds,location_tournament_key
atp,2008,24,Monte Carlo,Monte Carlo Masters,Masters,clay,3,True,2008-04-20,2008-04-27,55,2008_24_monte_carlo_monte_carlo_masters,6,0,50,0,5,0,56,Nadal R.,Federer R.,2.0,,monte_carlo_monte_carlo_masters
atp,2008,25,Barcelona,Open Sabadell Atlántico 2008,International Gold,clay,3,True,2008-04-28,2008-05-04,55,2008_25_barcelona_open_sabadell_atl_ntico_2008,6,0,49,0,6,0,56,Nadal R.,Ferrer D.,2.0,,barcelona_open_sabadell_atl_ntico_2008
atp,2008,26,Munich,BMW Open,International,clay,3,True,2008-04-28,2008-05-04,31,2008_26_munich_bmw_open,5,0,31,0,0,0,32,Gonzalez F.,Bolelli S.,15.0,,munich_bmw_open
atp,2008,27,Rome,Internazionali BNL d'Italia,Masters,clay,3,True,2008-05-05,2008-05-11,55,2008_27_rome_internazionali_bnl_d_italia,6,0,50,0,4,1,56,Djokovic N.,Wawrinka S.,3.0,,rome_internazionali_bnl_d_italia
atp,2008,28,Hamburg,Hamburg TMS,Masters,clay,3,True,2008-05-11,2008-05-18,55,2008_28_hamburg_hamburg_tms,6,0,52,0,3,0,56,Nadal R.,Federer R.,2.0,,hamburg_hamburg_tms
atp,2008,29,Casablanca,Grand Prix Hassan II,International,clay,3,True,2008-05-18,2008-05-24,31,2008_29_casablanca_grand_prix_hassan_ii,5,0,27,0,2,2,32,Simon G.,Benneteau J.,36.0,,casablanca_grand_prix_hassan_ii
atp,2008,30,Portschach,Hypo Group Tennis International,International,clay,3,True,2008-05-19,2008-05-24,31,2008_30_portschach_hypo_group_tennis_international,5,0,30,0,1,0,32,Davydenko N.,Monaco J.,4.0,,portschach_hypo_group_tennis_international
atp,2008,31,Paris,French Open,grand_slam,clay,5,True,2008-05-25,2008-06-08,127,2008_31_paris_french_open,7,0,126,0,1,0,128,Nadal R.,Federer R.,2.0,,paris_french_open
atp,2008,32,Halle,Gerry Weber Open,International,grass,3,True,2008-06-09,2008-06-15,31,2008_32_halle_gerry_weber_open,5,0,30,0,1,0,32,Federer R.,Kohlschreiber P.,1.0,,halle_gerry_weber_open
atp,2008,33,Queens Club,Stella Artois,International,grass,3,True,2008-06-09,2008-06-15,55,2008_33_queens_club_stella_artois,6,0,50,0,4,1,56,Nadal R.,Djokovic N.,2.0,,queens_club_stella_artois
atp,2008,34,Warsaw,Orange Prokom Open,International,clay,3,True,2008-06-09,2008-06-15,31,2008_34_warsaw_orange_prokom_open,5,0,27,0,4,0,32,Davydenko N.,Robredo T.,4.0,,warsaw_orange_prokom_open
atp,2008,35,'s-Hertogenbosch,Ordina Open,International,grass,3,True,2008-06-15,2008-06-21,31,2008_35_s_hertogenbosch_ordina_open,5,0,30,0,1,0,32,Ferrer D.,Gicquel M.,5.0,,s_hertogenbosch_ordina_open
atp,2008,36,Nottingham,Slazenger Open,International,grass,3,True,2008-06-16,2008-06-21,31,2008_36_nottingham_slazenger_open,5,0,28,0,1,2,32,Karlovic I.,Verdasco F.,22.0,,nottingham_slazenger_open
atp,2008,37,London,Wimbledon,grand_slam,grass,5,True,2008-06-23,2008-07-06,127,2008_37_london_wimbledon,7,0,117,0,10,0,128,Nadal R.,Federer R.,2.0,,london_wimbledon
atp,2008,38,Bastad,Catella Swedish Open,International,clay,3,True,2008-07-07,2008-07-13,27,2008_38_bastad_catella_swedish_open,5,0,26,0,1,0,28,Robredo T.,Berdych T.,17.0,,bastad_catella_swedish_open
atp,2008,39,Gstaad,Allianz Suisse Open,International,clay,3,True,2008-07-07,2008-07-13,27,2008_39_gstaad_allianz_suisse_open,5,0,25,0,0,2,28,Hanescu V.,Andreev I.,80.0,,gstaad_allianz_suisse_open
atp,2008,40,Newport,Hall of Fame Championships,International,grass,3,True,2008-07-07,2008-07-13,27,2008_40_newport_hall_of_fame_championships,5,0,27,0,0,0,28,Santoro F.,Amritraj P.,57.0,,newport_hall_of_fame_championships
atp,2008,41,Stuttgart,Mercedes Cup,International,clay,3,True,2008-07-07,2008-07-13,27,2008_41_stuttgart_mercedes_cup,5,0,26,0,1,0,28,Del Potro J.M.,Gasquet R.,65.0,,stuttgart_mercedes_cup
atp,2008,42,Amersfoort,Dutch Open,International,clay,3,True,2008-07-14,2008-07-20,27,2008_42_amersfoort_dutch_open,5,0,25,0,2,0,28,Montanes A.,Darcis S.,63.0,,amersfoort_dutch_open
atp,2008,43,Indianapolis,Indianapolis Tennis Championships,International,hard,3,True,2008-07-14,2008-07-20,31,2008_43_indianapolis_indianapolis_tennis_championships,5,0,29,0,1,1,32,Simon G.,Tursunov D.,25.0,,indianapolis_indianapolis_tennis_championships
atp,2008,44,Kitzbuhel,Austrian Open,International Gold,clay,3,True,2008-07-15,2008-07-20,31,2008_44_kitzbuhel_austrian_open,5,0,30,0,1,0,32,Del Potro J.M.,Melzer J.,44.0,,kitzbuhel_austrian_open
atp,2008,45,Umag,Studena Croatia Open,International,clay,3,True,2008-07-14,2008-07-20,27,2008_45_umag_studena_croatia_open,5,0,26,0,0,1,28,Verdasco F.,Andreev I.,15.0,,umag_studena_croatia_open
atp,2008,46,Toronto,Rogers Masters,Masters,hard,3,True,2008-07-21,2008-07-27,55,2008_46_toronto_rogers_masters,6,0,55,0,0,0,56,Nadal R.,Kiefer N.,2.0,,toronto_rogers_masters
atp,2008,47,Cincinnati,Western & Southern Financial Group Masters,Masters,hard,3,True,2008-07-28,2008-08-03,55,2008_47_cincinnati_western_southern_financial_group_masters,6,0,53,0,2,0,56,Murray A.,Djokovic N.,9.0,,cincinnati_western_southern_financial_group_masters
atp,2008,48,Los Angeles,Countrywide Classic,International,hard,3,True,2008-08-04,2008-08-10,27,2008_48_los_angeles_countrywide_classic,5,0,27,0,0,0,28,Del Potro J.M.,Roddick A.,24.0,,los_angeles_countrywide_classic
atp,2008,49,Washington,Legg Mason Classic,International Gold,hard,3,True,2008-08-10,2008-08-17,31,2008_49_washington_legg_mason_classic,5,0,30,0,1,0,32,Del Potro J.M.,Troicki V.,19.0,,washington_legg_mason_classic
atp,2008,50,New Haven,Pilot Pen Tennis,International Gold,hard,3,True,2008-08-17,2008-08-23,47,2008_50_new_haven_pilot_pen_tennis,6,0,43,0,4,0,48,Cilic M.,Fish M.,31.0,,new_haven_pilot_pen_tennis
atp,2008,51,New York,US Open,grand_slam,hard,5,True,2008-08-25,2008-09-08,127,2008_51_new_york_us_open,7,0,121,0,6,0,128,Federer R.,Murray A.,2.0,,new_york_us_open
atp,2008,52,Bucharest,Open Romania,International,clay,3,True,2008-09-08,2008-09-14,31,2008_52_bucharest_open_romania,5,0,29,0,2,0,32,Simon G.,Moya C.,17.0,,bucharest_open_romania
atp,2008,53,Bangkok,Thailand Open,International,hard,3,False,2008-09-23,2008-09-28,27,2008_53_bangkok_thailand_open,5,0,27,0,0,0,28,Tsonga J.W.,Djokovic N.,20.0,,bangkok_thailand_open
atp,2008,54,Beijing,China Open,International,hard,3,True,2008-09-22,2008-09-28,27,2008_54_beijing_china_open,5,0,27,0,0,0,28,Roddick A.,Sela D.,8.0,,beijing_china_open
atp,2008,55,Metz,Open de Moselle,International,hard,3,False,2008-09-29,2008-10-05,31,2008_55_metz_open_de_moselle,5,0,30,0,1,0,32,Tursunov D.,Mathieu P.H.,32.0,,metz_open_de_moselle
atp,2008,56,Tokyo,AIG Japan Open Tennis Championships,International Gold,hard,3,True,2008-09-29,2008-10-05,47,2008_56_tokyo_aig_japan_open_tennis_championships,6,0,46,0,1,0,48,Berdych T.,Del Potro J.M.,27.0,,tokyo_aig_japan_open_tennis_championships
atp,2008,57,Moscow,Kremlin Cup,International,carpet,3,False,2008-10-06,2008-10-12,31,2008_57_moscow_kremlin_cup,5,0,28,0,2,1,32,Kunitsyn I.,Safin M.,71.0,,moscow_kremlin_cup
atp,2008,58,Stockholm,Stockholm Open,International,hard,3,False,2008-10-06,2008-10-12,31,2008_58_stockholm_stockholm_open,5,0,30,0,0,1,32,Nalbandian D.,Soderling R.,7.0,,stockholm_stockholm_open
