tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size
atp,2002,2002-D081,1,1,1,1,2,1
atp,2002,2002-D082,1,1,1,1,2,1
atp,2002,2002-D083,1,1,1,1,2,1
atp,2003,2003-1536,1,1,1,1,2,1
atp,2003,2003-314,1,1,1,1,2,1
atp,2003,2003-317,1,1,1,1,2,1
atp,2003,2003-319,1,1,1,1,2,1
atp,2003,2003-321,1,1,1,1,2,1
atp,2003,2003-337,1,1,1,1,2,1
atp,2003,2003-352,1,1,1,1,2,1
atp,2003,2003-414,1,1,1,1,2,1
atp,2003,2003-416,1,1,1,1,2,1
atp,2003,2003-605,1,1,1,1,2,1
atp,2003,2003-D001,1,1,1,1,2,1
atp,2003,2003-D003,1,1,1,1,2,1
atp,2003,2003-D005,1,1,1,1,2,1
atp,2003,2003-D006,1,1,1,1,2,1
atp,2003,2003-D007,1,1,1,1,2,1
atp,2003,2003-D010,1,1,1,1,2,1
atp,2003,2003-D011,1,1,1,1,2,1
atp,2003,2003-D012,1,1,1,1,2,1
atp,2003,2003-D014,1,1,1,1,2,1
atp,2003,2003-D015,1,1,1,1,2,1
atp,2003,2003-D016,1,1,1,1,2,1
atp,2003,2003-D017,1,1,1,1,2,1
atp,2003,2003-D018,1,1,1,1,2,1
atp,2003,2003-D019,1,1,1,1,2,1
atp,2003,2003-D020,1,1,1,1,2,1
atp,2003,2003-D022,1,1,1,1,2,1
atp,2003,2003-D023,1,1,1,1,2,1
atp,2003,2003-D025,1,1,1,1,2,1
atp,2003,2003-D026,1,1,1,1,2,1
atp,2003,2003-D027,1,1,1,1,2,1
atp,2003,2003-D028,1,1,1,1,2,1
atp,2003,2003-D030,1,1,1,1,2,1
atp,2003,2003-D031,1,1,1,1,2,1
atp,2003,2003-D032,1,1,1,1,2,1
atp,2003,2003-D033,1,1,1,1,2,1
atp,2003,2003-D034,1,1,1,1,2,1
atp,2003,2003-D035,1,1,1,1,2,1
atp,2003,2003-D036,1,1,1,1,2,1
atp,2003,2003-D040,1,1,1,1,2,1
atp,2003,2003-D041,1,1,1,1,2,1
atp,2003,2003-D042,1,1,1,1,2,1
atp,2003,2003-D043,1,1,1,1,2,1
atp,2003,2003-D046,1,1,1,1,2,1
atp,2003,2003-D048,1,1,1,1,2,1
atp,2003,2003-D049,1,1,1,1,2,1
atp,2003,2003-D050,1,1,1,1,2,1
atp,2003,2003-D053,1,1,1,1,2,1
atp,2003,2003-D054,1,1,1,1,2,1
atp,2003,2003-D055,1,1,1,1,2,1
atp,2003,2003-D056,1,1,1,1,2,1
atp,2003,2003-D057,1,1,1,1,2,1
atp,2003,2003-D059,1,1,1,1,2,1
atp,2003,2003-D062,1,1,1,1,2,1
atp,2003,2003-D063,1,1,1,1,2,1
atp,2003,2003-D065,1,1,1,1,2,1
atp,2003,2003-D066,1,1,1,1,2,1
atp,2003,2003-D067,1,1,1,1,2,1
atp,2003,2003-D070,1,1,1,1,2,1
atp,2003,2003-D071,1,1,1,1,2,1
atp,2003,2003-D072,1,1,1,1,2,1
atp,2003,2003-D073,1,1,1,1,2,1
atp,2003,2003-D074,1,1,1,1,2,1
atp,2003,2003-D075,1,1,1,1,2,1
atp,2003,2003-D076,1,1,1,1,2,1
atp,2003,2003-D077,1,1,1,1,2,1
atp,2003,2003-D079,1,1,1,1,2,1
atp,2003,2003-D080,1,1,1,1,2,1
atp,2003,2003-D082,1,1,1,1,2,1
atp,2003,2003-D084,1,1,1,1,2,1
atp,2004,2004-1536,1,1,1,1,2,1
atp,2004,2004-314,1,1,1,1,2,1
atp,2004,2004-321,1,1,1,1,2,1
atp,2004,2004-328,1,1,1,1,2,1
atp,2004,2004-337,1,1,1,1,2,1
atp,2004,2004-352,1,1,1,1,2,1
atp,2004,2004-410,1,1,1,1,2,1
atp,2004,2004-414,1,1,1,1,2,1
atp,2004,2004-416,1,1,1,1,2,1
atp,2004,2004-425,1,1,1,1,2,1
atp,2004,2004-96,1,1,1,1,2,1
atp,2004,2004-D001,1,1,1,1,2,1
atp,2004,2004-D002,1,1,1,1,2,1
atp,2004,2004-D004,1,1,1,1,2,1
atp,2004,2004-D005,1,1,1,1,2,1
atp,2004,2004-D006,1,1,1,1,2,1
atp,2004,2004-D007,1,1,1,1,2,1
atp,2004,2004-D009,1,1,1,1,2,1
atp,2004,2004-D010,1,1,1,1,2,1
atp,2004,2004-D012,1,1,1,1,2,1
atp,2004,2004-D013,1,1,1,1,2,1
atp,2004,2004-D014,1,1,1,1,2,1
atp,2004,2004-D015,1,1,1,1,2,1
atp,2004,2004-D016,1,1,1,1,2,1
atp,2004,2004-D017,1,1,1,1,2,1
atp,2004,2004-D018,1,1,1,1,2,1
atp,2004,2004-D019,1,1,1,1,2,1
atp,2004,2004-D020,1,1,1,1,2,1
atp,2004,2004-D021,1,1,1,1,2,1
atp,2004,2004-D023,1,1,1,1,2,1
atp,2004,2004-D024,1,1,1,1,2,1
atp,2004,2004-D025,1,1,1,1,2,1
atp,2004,2004-D027,1,1,1,1,2,1
atp,2004,2004-D028,1,1,1,1,2,1
atp,2004,2004-D029,1,1,1,1,2,1
atp,2004,2004-D030,1,1,1,1,2,1
atp,2004,2004-D031,1,1,1,1,2,1
atp,2004,2004-D032,1,1,1,1,2,1
atp,2004,2004-D035,1,1,1,1,2,1
atp,2004,2004-D037,1,1,1,1,2,1
atp,2004,2004-D038,1,1,1,1,2,1
atp,2004,2004-D041,1,1,1,1,2,1
atp,2004,2004-D043,1,1,1,1,2,1
atp,2004,2004-D044,1,1,1,1,2,1
atp,2004,2004-D045,1,1,1,1,2,1
atp,2004,2004-D046,1,1,1,1,2,1
atp,2004,2004-D047,1,1,1,1,2,1
atp,2004,2004-D048,1,1,1,1,2,1
atp,2004,2004-D049,1,1,1,1,2,1
atp,2004,2004-D050,1,1,1,1,2,1
atp,2004,2004-D054,1,1,1,1,2,1
atp,2004,2004-D055,1,1,1,1,2,1
atp,2004,2004-D057,1,1,1,1,2,1
atp,2004,2004-D058,1,1,1,1,2,1
atp,2004,2004-D059,1,1,1,1,2,1
atp,2004,2004-D060,1,1,1,1,2,1
atp,2004,2004-D061,1,1,1,1,2,1
atp,2004,2004-D062,1,1,1,1,2,1
atp,2004,2004-D063,1,1,1,1,2,1
atp,2004,2004-D065,1,1,1,1,2,1
atp,2004,2004-D066,1,1,1,1,2,1
atp,2004,2004-D068,1,1,1,1,2,1
atp,2004,2004-D070,1,1,1,1,2,1
atp,2004,2004-D071,1,1,1,1,2,1
atp,2004,2004-D073,1,1,1,1,2,1
atp,2004,2004-D074,1,1,1,1,2,1
atp,2004,2004-D075,1,1,1,1,2,1
atp,2004,2004-D076,1,1,1,1,2,1
atp,2004,2004-D077,1,1,1,1,2,1
atp,2004,2004-D078,1,1,1,1,2,1
atp,2004,2004-D079,1,1,1,1,2,1
atp,2004,2004-D083,1,1,1,1,2,1
atp,2005,2005-1536,1,1,1,1,2,1
atp,2005,2005-319,1,1,1,1,2,1
atp,2005,2005-321,1,1,1,1,2,1
atp,2005,2005-328,1,1,1,1,2,1
atp,2005,2005-337,1,1,1,1,2,1
atp,2005,2005-352,1,1,1,1,2,1
atp,2005,2005-403,1,1,1,1,2,1
atp,2005,2005-404,1,1,1,1,2,1
atp,2005,2005-410,1,1,1,1,2,1
atp,2005,2005-414,1,1,1,1,2,1
atp,2005,2005-416,1,1,1,1,2,1
atp,2005,2005-425,1,1,1,1,2,1
atp,2005,2005-605,1,1,1,1,2,1
atp,2005,2005-D001,1,1,1,1,2,1
atp,2005,2005-D003,1,1,1,1,2,1
atp,2005,2005-D004,1,1,1,1,2,1
atp,2005,2005-D005,1,1,1,1,2,1
atp,2005,2005-D008,1,1,1,1,2,1
atp,2005,2005-D009,1,1,1,1,2,1
atp,2005,2005-D010,1,1,1,1,2,1
atp,2005,2005-D012,1,1,1,1,2,1
atp,2005,2005-D014,1,1,1,1,2,1
atp,2005,2005-D016,1,1,1,1,2,1
atp,2005,2005-D018,1,1,1,1,2,1
atp,2005,2005-D022,1,1,1,1,2,1
atp,2005,2005-D023,1,1,1,1,2,1
atp,2005,2005-D024,1,1,1,1,2,1
atp,2005,2005-D025,1,1,1,1,2,1
atp,2005,2005-D026,1,1,1,1,2,1
atp,2005,2005-D027,1,1,1,1,2,1
atp,2005,2005-D028,1,1,1,1,2,1
atp,2005,2005-D029,1,1,1,1,2,1
atp,2005,2005-D030,1,1,1,1,2,1
atp,2005,2005-D031,1,1,1,1,2,1
atp,2005,2005-D032,1,1,1,1,2,1
atp,2005,2005-D034,1,1,1,1,2,1
atp,2005,2005-D036,1,1,1,1,2,1
atp,2005,2005-D037,1,1,1,1,2,1
atp,2005,2005-D038,1,1,1,1,2,1
atp,2005,2005-D039,1,1,1,1,2,1
atp,2005,2005-D042,1,1,1,1,2,1
atp,2005,2005-D043,1,1,1,1,2,1
atp,2005,2005-D044,1,1,1,1,2,1
atp,2005,2005-D045,1,1,1,1,2,1
atp,2005,2005-D046,1,1,1,1,2,1
atp,2005,2005-D047,1,1,1,1,2,1
atp,2005,2005-D048,1,1,1,1,2,1
atp,2005,2005-D049,1,1,1,1,2,1
atp,2005,2005-D050,1,1,1,1,2,1
atp,2005,2005-D051,1,1,1,1,2,1
atp,2005,2005-D052,1,1,1,1,2,1
atp,2005,2005-D054,1,1,1,1,2,1
atp,2005,2005-D055,1,1,1,1,2,1
atp,2005,2005-D057,1,1,1,1,2,1
atp,2005,2005-D059,1,1,1,1,2,1
atp,2005,2005-D060,1,1,1,1,2,1
atp,2005,2005-D061,1,1,1,1,2,1
atp,2005,2005-D062,1,1,1,1,2,1
atp,2005,2005-D063,1,1,1,1,2,1
atp,2005,2005-D064,1,1,1,1,2,1
atp,2005,2005-D065,1,1,1,1,2,1
atp,2005,2005-D066,1,1,1,1,2,1
atp,2005,2005-D067,1,1,1,1,2,1
atp,2005,2005-D070,1,1,1,1,2,1
atp,2005,2005-D071,1,1,1,1,2,1
atp,2005,2005-D072,1,1,1,1,2,1
atp,2005,2005-D074,1,1,1,1,2,1
atp,2005,2005-D075,1,1,1,1,2,1
