tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size,start_date,end_date,num_matches,num_rounds,num_completed_matches,num_defaulted_matches,num_retired_matches,num_walkover_matches,num_players,champion,runner_up,champion_avg_rank
atp,2000,2000-D048,D048,Davis Cup G2 PO: BUL vs ISR,D,clay,5,4,2000-07-21,2000-07-21,4,1,4,0,0,0,5,,,
atp,2000,2000-D049,D049,Davis Cup WG F: ESP vs AUS,D,clay,5,4,2000-12-08,2000-12-08,3,1,2,0,1,0,4,,,
atp,2000,2000-D050,D050,Davis Cup WG PO: FRA vs AUT,D,carpet,3,4,2000-07-21,2000-07-21,4,1,4,0,0,0,5,,,
atp,2000,2000-D051,D051,Davis Cup WG PO: GBR vs ECU,D,grass,5,4,2000-07-14,2000-07-14,4,1,4,0,0,0,6,,,
atp,2000,2000-D052,D052,Davis Cup WG PO: ITA vs BEL,D,clay,5,4,2000-07-21,2000-07-21,4,1,4,0,0,0,6,,,
atp,2000,2000-D054,D054,Davis Cup WG PO: UZB vs NED,D,clay,3,4,2000-07-14,2000-07-14,4,1,4,0,0,0,5,,,
atp,2000,2000-D055,D055,Davis Cup WG PO: SWE vs IND,D,clay,3,4,2000-07-21,2000-07-21,4,1,4,0,0,0,4,,,
atp,2000,2000-D056,D056,Davis Cup WG PO: SUI vs BLR,D,carpet,3,4,2000-07-21,2000-07-21,4,1,4,0,0,0,8,,,
atp,2000,2000-D057,D057,Davis Cup WG PO: ZIM vs ROU,D,hard,5,4,2000-07-14,2000-07-14,4,1,4,0,0,0,5,,,
atp,2000,2000-D058,D058,Davis Cup G1 PO: FIN vs HUN,D,carpet,5,4,2000-10-06,2000-10-06,4,1,4,0,0,0,4,,,
atp,2000,2000-D059,D059,Davis Cup G1 PO: POR vs RSA,D,clay,5,4,2000-10-06,2000-10-06,4,1,4,0,0,0,4,,,
atp,2000,2000-D060,D060,Davis Cup WG R1: SUI vs AUS,D,carpet,5,4,2000-02-04,2000-02-04,4,1,4,0,0,0,4,,,
atp,2000,2000-D061,D061,Davis Cup WG R1: SVK vs AUT,D,hard,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,6,,,
atp,2000,2000-D062,D062,Davis Cup G1 QF: PER vs BAH,D,clay,5,4,2000-02-04,2000-02-04,4,1,2,0,2,0,6,,,
atp,2000,2000-D063,D063,Davis Cup WG R1: RUS vs BEL,D,carpet,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,7,,,
atp,2000,2000-D064,D064,Davis Cup WG R1: BRA vs FRA,D,clay,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,7,,,
atp,2000,2000-D065,D065,Davis Cup G1 QF: CHI vs CAN,D,clay,3,4,2000-02-04,2000-02-04,4,1,3,0,1,0,7,,,
atp,2000,2000-D066,D066,Davis Cup G1 QF: CHN vs UZB,D,hard,5,4,2000-01-28,2000-01-28,2,1,2,0,0,0,4,,,
atp,2000,2000-D067,D067,Davis Cup G1 QF: COL vs ECU,D,clay,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,6,,,
